39:44.7,ERROR,MrSparklyWPF.ViewModels.EmployeesListViewModel,No connection string named 'MrSparklyEntities' could be found in the application config file.,MrSparklyWPF.ViewModels.EmployeesListViewModel..ctor,Added connection string to app.config
2015-10-20 15:06:13.6612,ERROR,MrSparklyWPF.RawMaterials.RawMaterialsListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.RawMaterials.RawMaterialsListViewModel..ctor,
2015-10-20 15:06:13.8714,ERROR,MrSparklyWPF.Retailers.RetailersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Retailers.RetailersListViewModel..ctor,
2015-10-20 15:06:14.0525,ERROR,MrSparklyWPF.Suppliers.SuppliersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Suppliers.SuppliersListViewModel..ctor,
2015-10-20 15:06:16.9926,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:06:17.1467,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:06:55.5729,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:06:55.7651,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:06:55.9472,ERROR,MrSparklyWPF.Products.ProductsListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Products.ProductsListViewModel..ctor,
2015-10-20 15:06:56.1543,ERROR,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel..ctor,
2015-10-20 15:06:56.3184,ERROR,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel..ctor,
2015-10-20 15:06:56.4796,ERROR,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel..ctor,
2015-10-20 15:06:56.6757,ERROR,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel..ctor,
2015-10-20 15:06:56.8388,ERROR,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel..ctor,
2015-10-20 15:06:56.9859,ERROR,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel..ctor,
2015-10-20 15:06:57.1300,ERROR,MrSparklyWPF.RawMaterials.RawMaterialsListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.RawMaterials.RawMaterialsListViewModel..ctor,
2015-10-20 15:06:57.3312,ERROR,MrSparklyWPF.Retailers.RetailersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Retailers.RetailersListViewModel..ctor,
2015-10-20 15:06:57.5093,ERROR,MrSparklyWPF.Suppliers.SuppliersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Suppliers.SuppliersListViewModel..ctor,
2015-10-20 15:07:00.7566,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:07:00.9187,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:07:26.2407,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:07:26.4248,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
